"","BBAS3 ","BBDC3 ","",""
"121","29.75","15.112","1.57467075365274","Fora"
"122","28.5","14.713","1.57467075365274","OpenLeft"
"123","28.5","14.708","1.57467075365274","OpenLeft"
"124","27.41","14.285","1.57467075365274","OpenLeft"
"125","27.04","14.031","1.57467075365274","OpenLeft"
"126","26.97","14.045","1.57467075365274","OpenLeft"
"127","28.35","14.205","1.57467075365274","OutLeft"
"128","27.26","13.632","1.57467075365274","Fora"
"129","26.74","13.679","1.57467075365274","Fora"
"130","26.15","13.773","1.57467075365274","OpenLeft"
"131","24.65","13.359","1.57467075365274","OpenLeft"
"132","24","13.397","1.57467075365274","OpenLeft"
"133","23.62","13.091","1.57467075365274","OpenLeft"
"134","23.8","13.053","1.57467075365274","OpenLeft"
"135","23.07","13.091","1.57467075365274","OpenLeft"
"136","24.25","13.284","1.57467075365274","OpenLeft"
"137","24.5893398614275","13.2833656114453","1.57467075365274","OpenLeft"
"138","24.2","13.162","1.57467075365274","OpenLeft"
"139","23.8","13.105","1.57467075365274","OpenLeft"
"140","24.15","13.068","1.57467075365274","OpenLeft"
"141","24.4","12.875","1.57467075365274","OpenLeft"
"142","25.36","13.74","1.57467075365274","OpenLeft"
"143","24.61","13.773","1.57467075365274","OpenLeft"
"144","24.95","14.05","1.57467075365274","OpenLeft"
"145","25.02","14.064","1.57467075365274","OpenLeft"
"146","24","14.05","1.57467075365274","OpenLeft"
"147","24.8","14.097","1.57467075365274","OpenLeft"
"148","24.73","13.867","1.57467075365274","OpenLeft"
"149","24.25","13.632","1.57467075365274","OpenLeft"
"150","23.07","13.392","1.57467075365274","OpenLeft"
"151","24.4","13.608","1.57467075365274","OpenLeft"
"152","25.28","13.796","1.57467075365274","OutLeft"
"153","25.1","13.773","1.57467075365274","Fora"
"154","23.81","13.627","1.57467075365274","Fora"
"155","22.58","12.927","1.57467075365274","OpenLeft"
"156","23","13.256","1.57467075365274","OpenLeft"
"157","24.15","13.397","1.57467075365274","OpenLeft"
"158","23.8","13.397","1.57467075365274","OpenLeft"
"159","23.4","13.35","1.57467075365274","OpenLeft"
"160","22.57","12.974","1.57467075365274","OpenLeft"
"161","21.8","12.786","1.57467075365274","OpenLeft"
"162","21.2","12.635","1.57467075365274","OpenLeft"
"163","21.8","12.724","1.57467075365274","OpenLeft"
"164","22.29","12.715","1.57467075365274","OpenLeft"
"165","22.31","12.41","1.57467075365274","OutLeft"
"166","22.2","12.315","1.57467075365274","Fora"
"167","22.65","12.546","1.57467075365274","Fora"
"168","23.3","12.598","1.57467075365274","OpenRight"
"169","23.51","12.682","1.57467075365274","OpenRight"
"170","22.78","12.362","1.57467075365274","OpenRight"
